true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,69,1,31,35,56
Canola,0,95,31,10,2
Lucerne/Medics,4,1,1316,19,18
Small grain grazing,6,5,277,82,57
Wheat,32,1,86,50,131
