true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,70,5,8,17,92
Canola,2,74,7,2,53
Lucerne/Medics,4,2,1033,65,254
Small grain grazing,9,6,126,146,140
Wheat,27,4,25,62,182
