class,precision,recall,f1-score,support,cross_entropy
Barley,0.5123456790123457,0.4322916666666667,0.4689265536723164,192.0,1.2547421139220531
Canola,0.48717948717948717,0.8260869565217391,0.6129032258064516,138.0,0.9610790894000714
Lucerne/Medics,0.8600299401197605,0.8460972017673049,0.8530066815144766,1358.0,2.6429673208190203
Small grain grazing,0.3941176470588235,0.4707259953161593,0.42902881536819637,427.0,3.5706755119773734
Wheat,0.41040462427745666,0.23666666666666666,0.30021141649048627,300.0,2.2091469436525486
accuracy,0.6699792960662526,0.6699792960662526,0.6699792960662526,0.6699792960662526,
macro avg,0.5328154755295748,0.5623736973877074,0.5328153385703854,2415.0,
weighted avg,0.6728494496319375,0.6699792960662526,0.6651164994088613,2415.0,
