class,precision,recall,f1-score,support,cross_entropy
Barley,0.6831683168316832,0.359375,0.4709897610921502,192.0,1.0344948455136211
Canola,0.9230769230769231,0.6086956521739131,0.7336244541484717,138.0,0.40712383855575723
Lucerne/Medics,0.7894088669950738,0.9440353460972017,0.8598256203890007,1358.0,2.789798833118262
Small grain grazing,0.363855421686747,0.35362997658079626,0.3586698337292161,427.0,3.6040463102097156
Wheat,0.5271739130434783,0.3233333333333333,0.40082644628099173,300.0,1.935506398063651
accuracy,0.6968944099378882,0.6968944099378882,0.6968944099378882,0.6968944099378882,
macro avg,0.657336688326781,0.5178138616370489,0.564787223127966,2415.0,
weighted avg,0.6807820341900179,0.6968944099378882,0.6760717822679575,2415.0,
