true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,114,6,17,7,48
Canola,6,115,12,1,4
Lucerne/Medics,10,3,1296,29,20
Small grain grazing,26,14,225,88,74
Wheat,66,7,44,43,140
