class,precision,recall,f1-score,support,cross_entropy
Barley,0.5806451612903226,0.28125,0.37894736842105264,192.0,1.1813263577806055
Canola,0.7424242424242424,0.7101449275362319,0.725925925925926,138.0,0.49388791399123133
Lucerne/Medics,0.7983460559796438,0.9241531664212077,0.856655290102389,1358.0,2.8031471524096734
Small grain grazing,0.4369369369369369,0.22716627634660422,0.29892141756548535,427.0,3.036742740062874
Wheat,0.40404040404040403,0.5333333333333333,0.45977011494252873,300.0,2.5094841278611013
accuracy,0.6890269151138716,0.6890269151138716,0.6890269151138716,0.6890269151138716,
macro avg,0.59247856013431,0.5352095407274754,0.5440440233914763,2415.0,
weighted avg,0.6649592354976551,0.6890269151138716,0.6632894560069917,2415.0,
