class,precision,recall,f1-score,support,cross_entropy
Barley,0.6027397260273972,0.4583333333333333,0.5207100591715976,192.0,1.0812139630582973
Canola,0.8809523809523809,0.5362318840579711,0.6666666666666666,138.0,0.4938879139860005
Lucerne/Medics,0.8458304134548003,0.8888070692194403,0.866786355475763,1358.0,2.4761133296154645
Small grain grazing,0.4069400630914827,0.30210772833723654,0.3467741935483871,427.0,3.2436416891779336
Wheat,0.35147392290249435,0.5166666666666667,0.4183535762483131,300.0,2.876562908535646
accuracy,0.684472049689441,0.684472049689441,0.684472049689441,0.684472049689441,
macro avg,0.6175873012857112,0.5404293363229296,0.5638581702221455,2415.0,
weighted avg,0.6894992717395938,0.684472049689441,0.6801866896963511,2415.0,
