true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,69,6,17,46,54
Canola,0,93,32,9,4
Lucerne/Medics,11,14,1244,77,12
Small grain grazing,11,10,216,158,32
Wheat,39,3,53,105,100
