class,precision,recall,f1-score,support,cross_entropy
Barley,0.625,0.3645833333333333,0.4605263157894737,192.0,1.09456228235167
Canola,0.8131868131868132,0.5362318840579711,0.6462882096069869,138.0,0.5406070315265358
Lucerne/Medics,0.8615512927439533,0.7606774668630338,0.8079780993351584,1358.0,3.277012487415289
Small grain grazing,0.5,0.34192037470725994,0.40611961057023643,427.0,2.8498662699114123
Wheat,0.2524271844660194,0.6066666666666667,0.356513222331048,300.0,4.384922989135956
accuracy,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6231884057971014,
macro avg,0.6104330580793571,0.522015945125653,0.5354850915265806,2415.0,
weighted avg,0.700386994246739,0.6231884057971014,0.6439793477711361,2415.0,
