true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,103,1,4,26,58
Canola,3,75,5,8,47
Lucerne/Medics,63,2,808,373,112
Small grain grazing,14,7,89,211,106
Wheat,57,1,13,91,138
