class,precision,recall,f1-score,support,cross_entropy
Barley,0.4682080924855491,0.421875,0.4438356164383562,192.0,1.3537334044654428
Canola,0.8947368421052632,0.6159420289855072,0.7296137339055794,138.0,0.42012422896799734
Lucerne/Medics,0.8013100436681223,0.5397058823529411,0.6449912126537786,1360.0,5.388258769950405
Small grain grazing,0.20949074074074073,0.4238875878220141,0.2804027885360186,427.0,6.195163843152582
Wheat,0.3794037940379404,0.4666666666666667,0.41853512705530643,300.0,2.5940998804895874
accuracy,0.5051717004551096,0.5051717004551096,0.5051717004551096,0.5051717004551096,
macro avg,0.5506299026075231,0.4936154331654258,0.5034756957178079,2417.0,
weighted avg,0.623262301143598,0.5051717004551096,0.5413254909663819,2417.0,
