true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,59,26,28,20,59
Canola,0,100,28,9,1
Lucerne/Medics,4,33,1264,28,29
Small grain grazing,8,40,254,81,44
Wheat,29,28,69,68,106
