true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,75,1,24,39,53
Canola,1,106,23,6,2
Lucerne/Medics,3,1,1297,39,18
Small grain grazing,4,5,256,113,49
Wheat,32,1,67,79,121
