true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,81,1,17,16,77
Canola,21,85,6,17,9
Lucerne/Medics,10,2,734,559,55
Small grain grazing,20,6,132,181,88
Wheat,41,1,27,91,140
