class,precision,recall,f1-score,support,cross_entropy
Barley,0.6666666666666666,0.34375,0.4536082474226804,192.0,1.0611914841075587
Canola,0.9130434782608695,0.7608695652173914,0.8300395256916996,138.0,0.2869889648846721
Lucerne/Medics,0.7711914641375223,0.9580265095729014,0.8545155993431856,1358.0,2.9566528243386
Small grain grazing,0.40823970037453183,0.25526932084309134,0.31412103746397696,427.0,3.1769000926870956
Wheat,0.5060728744939271,0.4166666666666667,0.4570383912248629,300.0,1.9822255156102888
accuracy,0.7064182194616977,0.7064182194616977,0.7064182194616977,0.7064182194616977,
macro avg,0.6530428367867034,0.5469164124600101,0.5818645602292811,2415.0,
weighted avg,0.673879181245076,0.7064182194616977,0.6763195123491644,2415.0,
