true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,71,1,29,25,66
Canola,1,100,26,7,4
Lucerne/Medics,8,5,1299,25,21
Small grain grazing,10,4,255,96,62
Wheat,34,2,73,52,139
