true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,79,4,31,31,47
Canola,1,111,18,7,1
Lucerne/Medics,12,5,1287,33,21
Small grain grazing,17,10,265,81,54
Wheat,51,4,84,63,98
