class,precision,recall,f1-score,support,cross_entropy
Barley,0.6732673267326733,0.3541666666666667,0.4641638225255973,192.0,1.0478431648106987
Canola,0.9245283018867925,0.7101449275362319,0.8032786885245902,138.0,0.3203597631263859
Lucerne/Medics,0.775975975975976,0.9513991163475699,0.8547800198478333,1358.0,2.929956185742047
Small grain grazing,0.3795180722891566,0.29508196721311475,0.33201581027667987,427.0,3.383799041798886
Wheat,0.5260663507109005,0.37,0.4344422700587084,300.0,1.9288322384180545
accuracy,0.7018633540372671,0.7018633540372671,0.7018633540372671,0.7018633540372671,
macro avg,0.6558712055190997,0.5361585355527166,0.5777361222466817,2415.0,
weighted avg,0.6751559957967562,0.7018633540372671,0.6761352430229484,2415.0,
