class,precision,recall,f1-score,support,cross_entropy
Barley,0.4697674418604651,0.5260416666666666,0.4963144963144963,192.0,1.3682028279529903
Canola,0.883495145631068,0.6594202898550725,0.7551867219917012,138.0,0.39377551925998716
Lucerne/Medics,0.84,0.9123711340206185,0.8746911401341334,1358.0,2.369326775244072
Small grain grazing,0.4670846394984326,0.34894613583138173,0.39946380697050937,427.0,2.990023622533673
Wheat,0.46534653465346537,0.47,0.46766169154228854,300.0,2.1424053471813256
accuracy,0.7126293995859213,0.7126293995859213,0.7126293995859213,0.7126293995859213,
macro avg,0.6251387523286862,0.5833558452747478,0.5986635713906258,2415.0,
weighted avg,0.700574236188889,0.7126293995859213,0.7031918311670746,2415.0,
