true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,70,1,24,40,57
Canola,0,100,28,8,2
Lucerne/Medics,4,3,1300,34,17
Small grain grazing,4,5,262,105,51
Wheat,28,2,70,84,116
