class,precision,recall,f1-score,support,cross_entropy
Barley,0.6451612903225806,0.3125,0.42105263157894735,192.0,1.1012364419981382
Canola,0.8771929824561403,0.7246376811594203,0.7936507936507936,138.0,0.34705640172141344
Lucerne/Medics,0.7609841827768014,0.9565537555228277,0.8476345840130506,1358.0,3.116832655905714
Small grain grazing,0.4563106796116505,0.22014051522248243,0.296998420221169,427.0,2.970001143575742
Wheat,0.4610169491525424,0.4533333333333333,0.45714285714285713,300.0,2.155753666477532
accuracy,0.6993788819875777,0.6993788819875777,0.6993788819875777,0.6993788819875777,
macro avg,0.640133216863943,0.5334330570476127,0.5632958573213636,2415.0,
weighted avg,0.6672835877729676,0.6993788819875777,0.664768058987158,2415.0,
