true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,110,2,9,16,55
Canola,42,73,7,3,13
Lucerne/Medics,249,3,836,119,151
Small grain grazing,79,6,124,137,81
Wheat,114,1,24,60,101
