true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,59,2,6,19,106
Canola,2,109,5,3,19
Lucerne/Medics,8,17,689,481,163
Small grain grazing,7,16,69,193,142
Wheat,37,3,15,58,187
