class,precision,recall,f1-score,support,cross_entropy
Barley,0.26932668329177056,0.5625,0.3642495784148398,192.0,2.514076236890989
Canola,0.6098901098901099,0.8043478260869565,0.69375,138.0,0.6535265228511784
Lucerne/Medics,0.772020725388601,0.6573529411764706,0.710087370929309,1360.0,4.868105086486778
Small grain grazing,0.44047619047619047,0.17330210772833723,0.24873949579831933,427.0,2.9808808245874467
Wheat,0.17125984251968504,0.29,0.21534653465346534,300.0,4.227915937620679
accuracy,0.5270997103847745,0.5270997103847745,0.5270997103847745,0.5270997103847745,
macro avg,0.4525947103132714,0.4975005749983529,0.4464345959591866,2417.0,
weighted avg,0.5896917794681801,0.5270997103847745,0.5387703635173485,2417.0,
