true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,72,1,25,54,40
Canola,1,84,23,30,0
Lucerne/Medics,2,2,1293,47,14
Small grain grazing,5,3,274,114,31
Wheat,24,0,77,95,104
