true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,85,2,10,19,76
Canola,3,103,8,20,4
Lucerne/Medics,6,4,1060,207,81
Small grain grazing,10,12,143,157,105
Wheat,27,3,21,65,184
