class,precision,recall,f1-score,support,cross_entropy
Barley,0.6370967741935484,0.4114583333333333,0.5,192.0,1.054517324461744
Canola,0.9351851851851852,0.7318840579710145,0.8211382113821138,138.0,0.29366312453244814
Lucerne/Medics,0.7975535168195719,0.9602356406480118,0.8713665218843969,1358.0,2.5695515647176763
Small grain grazing,0.4811715481171548,0.2693208430913349,0.34534534534534533,427.0,2.9099337067424873
Wheat,0.4919093851132686,0.5066666666666667,0.49917898193760263,300.0,2.035618792805357
accuracy,0.7250517598343685,0.7250517598343685,0.7250517598343685,0.7250517598343685,
macro avg,0.6685832818857457,0.5759131083420723,0.6074058121098918,2415.0,
weighted avg,0.6987531588495657,0.7250517598343685,0.6997304210904705,2415.0,
