class,precision,recall,f1-score,support,cross_entropy
Barley,0.424390243902439,0.453125,0.43828715365239296,192.0,1.4883377016256012
Canola,0.8913043478260869,0.5942028985507246,0.7130434782608696,138.0,0.4404946367985608
Lucerne/Medics,0.8508033664881408,0.8188512518409425,0.8345215759849907,1358.0,2.9433045050001114
Small grain grazing,0.46853146853146854,0.31381733021077285,0.3758765778401122,427.0,2.9700011435844598
Wheat,0.3180952380952381,0.5566666666666666,0.40484848484848485,300.0,3.2770124874571356
accuracy,0.6550724637681159,0.6550724637681159,0.6550724637681159,0.6550724637681159,
macro avg,0.5906249329686746,0.5473326294538213,0.55331545411737,2415.0,
weighted avg,0.6854515142905474,0.6550724637681159,0.6616088107168324,2415.0,
