class,precision,recall,f1-score,support,cross_entropy
Barley,0.5725806451612904,0.3697916666666667,0.44936708860759494,192.0,1.161303878838367
Canola,0.8928571428571429,0.7246376811594203,0.8,138.0,0.33370808242411765
Lucerne/Medics,0.772294887039239,0.9565537555228277,0.8546052631578948,1358.0,2.9499786646895165
Small grain grazing,0.4682926829268293,0.22482435597189696,0.3037974683544304,427.0,2.936630345332938
Wheat,0.476027397260274,0.4633333333333333,0.46959459459459457,300.0,2.0956862296403544
accuracy,0.7060041407867494,0.7060041407867494,0.7060041407867494,0.7060041407867494,
macro avg,0.6364105510489552,0.547828158530829,0.575472882942903,2415.0,
weighted avg,0.6727517271107157,0.7060041407867494,0.6740506524831469,2415.0,
