true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,57,2,87,3,43
Canola,6,34,85,2,11
Lucerne/Medics,8,6,1326,3,15
Small grain grazing,17,2,346,7,55
Wheat,29,0,197,1,73
