class,precision,recall,f1-score,support,cross_entropy
Barley,0.6923076923076923,0.375,0.4864864864864865,192.0,1.014472366568331
Canola,0.9333333333333333,0.6086956521739131,0.7368421052631579,138.0,0.4004496789071094
Lucerne/Medics,0.7641843971631206,0.9521354933726067,0.8478688524590164,1358.0,3.0968101769584626
Small grain grazing,0.3352941176470588,0.26697892271662765,0.29726205997392435,427.0,3.597372150553003
Wheat,0.5502645502645502,0.3466666666666667,0.42535787321063395,300.0,1.8754389612273454
accuracy,0.6902691511387163,0.6902691511387163,0.6902691511387163,0.6902691511387163,
macro avg,0.6550768181431511,0.5098953469859628,0.5587634754786438,2415.0,
weighted avg,0.6657289613189458,0.6902691511387163,0.6629539458149571,2415.0,
