class,precision,recall,f1-score,support,cross_entropy
Barley,0.2725,0.5677083333333334,0.36824324324324326,192.0,2.4940703259874195
Canola,0.8315789473684211,0.572463768115942,0.6781115879828327,138.0,0.50014787258184
Lucerne/Medics,0.7882882882882883,0.6433823529411765,0.708502024291498,1360.0,4.801418716803349
Small grain grazing,0.5488721804511278,0.17096018735362997,0.26071428571428573,427.0,2.760815804645568
Wheat,0.1958762886597938,0.44333333333333336,0.27170582226762,300.0,4.754738258097097
accuracy,0.5250310302027307,0.5250310302027307,0.5250310302027307,0.5250310302027307,
macro avg,0.5274231409535263,0.4795695950154831,0.45745539269989594,2417.0,
weighted avg,0.6339599811582475,0.5250310302027307,0.5464135711878597,2417.0,
