true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,60,3,34,26,69
Canola,0,100,24,10,4
Lucerne/Medics,3,4,1299,28,24
Small grain grazing,8,5,258,94,62
Wheat,22,2,92,48,136
