true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,46,4,25,17,100
Canola,1,110,18,6,3
Lucerne/Medics,3,3,1293,25,34
Small grain grazing,7,4,259,80,77
Wheat,14,2,74,50,160
