true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,112,4,5,9,10
Canola,5,91,2,4,5
Lucerne/Medics,5,2,341,26,6
Small grain grazing,5,3,11,59,5
Wheat,28,0,10,16,66
