true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,166482,2274,19854,5615,79611
Canola,15583,140114,13326,2003,22079
Lucerne/Medics,11945,4087,450067,8978,11858
Small grain grazing,23452,8606,53392,43309,24564
Wheat,95789,3111,36685,12828,229013
