true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,84,0,6,9,26
Canola,2,76,3,3,5
Lucerne/Medics,2,2,329,15,8
Small grain grazing,6,1,26,43,9
Wheat,54,1,15,14,91
