true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,84,3,8,7,36
Canola,6,68,6,2,5
Lucerne/Medics,4,2,331,11,4
Small grain grazing,9,3,24,40,12
Wheat,42,0,11,13,99
