true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,109,3,5,4,19
Canola,5,93,2,3,4
Lucerne/Medics,5,1,353,16,5
Small grain grazing,7,3,13,48,12
Wheat,20,1,10,8,81
