true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,84,4,9,8,28
Canola,1,87,4,4,4
Lucerne/Medics,6,1,344,31,6
Small grain grazing,4,8,16,28,18
Wheat,41,4,7,16,67
